"id","name","webinfo"
"12667","Bezirksamt Charlottenburg - Wilmersdorf","http://www.berlin.de/ba-charlottenburg-wilmersdorf/"
"12668","Bezirksamt Friedrichshain - Kreuzberg","http://www.berlin.de/ba-friedrichshain-kreuzberg/"
"12669","Bezirksamt Lichtenberg","http://www.berlin.de/ba-lichtenberg/"
"12670","Bezirksamt Marzahn - Hellersdorf","http://www.berlin.de/ba-marzahn-hellersdorf/"
"12671","Bezirksamt Mitte","http://www.berlin.de/ba-mitte/"
"12672","Bezirksamt Neukölln","http://www.berlin.de/ba-neukoelln/"
"12673","Bezirksamt Pankow","http://www.berlin.de/ba-pankow/"
"12674","Bezirksamt Reinickendorf","http://www.berlin.de/ba-reinickendorf/"
"12675","Bezirksamt Spandau","http://www.berlin.de/ba-spandau/"
"12676","Bezirksamt Steglitz-Zehlendorf","http://www.berlin.de/ba-steglitz-zehlendorf/"
"12677","Bezirksamt Tempelhof-Schöneberg","http://www.berlin.de/ba-tempelhof-schoeneberg/"
"12678","Bezirksamt Treptow-Köpenick","http://www.berlin.de/ba-treptow-koepenick/"
